INFORME,FECHA CIERRE,FECHA SESIÓN,N°,Marca temporal,Autor de la Pregunta,Bloque,Órgano requerido,Organismo (derivación final),Corresponde responder a 2 o mas Ministerios?,Segunda derivación,Justificación o contexto,Pregunta,Respuesta,Organismo requerido inicialmente,Area de gestión,Tema
96,26/09/2016,28/09/2016,21,,"Basualdo, Roberto (SJU - PyT)",Producción y Trabajo (PyT),Ministerio de Producción,,,,,"Indique los objetivos a lograr, en lo referente al nivel de exportación a alcanzar  y su composición para los próximos cuatros años.",SI,Producción ,Exportación/importación,NIVEL DE EXPORTACIÓN Y COMPOSICIÓN PLURIANUAL
96,26/09/2016,28/08/2016,22,,"Basualdo, Roberto (SJU - PyT)",Producción y Trabajo (PyT),Ministerio de Energía y Minería,,,,,Informe los objetivos a alcanzar en referencia a la licitación de proyectos vinculados con la generación de energías renovables.,SI,Energía y Minería,Energías renovables  ,PROYECTOS ENERGÍAS RENOVABLES
96,26/09/2016,28/09/2016,23,,"Basualdo, Roberto (SJU - PyT)",Producción y Trabajo (PyT),Ministerio de Energía y Minería,,,,,En referencia al proyecto Vaca Muerta. Indique los objetivos a alcanzar para los próximos cuatros años.,SI,Energía y Minería,YPF/Política de hidrocarburos/Gas,OBJETIVOS VACA MUERTA
96,26/09/2016,28/09/2016,24,,"Basualdo, Roberto (SJU - PyT)",Producción y Trabajo (PyT),Ministerio de Hacienda y Finanzas Públicas,,,,,En referencia al  nivel de actividad.  Indique las estimaciones de crecimiento para el próximo año. ,SI (Hacienda),Energía y Minería,YPF/Política de hidrocarburos/Gas,CRECIMIENTO VACA MUERTA
96,26/09/2016,28/08/2016,25,,"Basualdo, Roberto (SJU - PyT)",Producción y Trabajo (PyT),Ministerio de Hacienda y Finanzas Públicas,,,,,En referencia al grado de endeudamiento. Indique estimaciones de colocación de deuda pública para el próximo año.,SI,Hacienda y Finanzas Públicas,Deuda Pública/emisión de deuda,COLOCACIÓN DEUDA PÚBLICA
96,26/09/2016,28/09/2016,26,,"Caserio, Carlos Alberto (CBA - UpC)",Unión por Córdoba (UpC),ANSES,,,,La Ley de  Reparación Histórica establece que la  Nación debe compensar a las provincias  que no transfirieron sus cajas de Jubilaciones.,¿Cuando será la fecha en que se suscribirá el acuerdo entre la Nación y la Provincia de Córdoba?,SI,ANSES,Programa Nacional de Reparación Histórica,ACUERDO NACIÓN CORDOBA CAJA DE JUBILACIÓN
96,26/09/2016,28/09/2016,27,,"Caserio, Carlos Alberto (CBA - UpC)",Unión por Córdoba (UpC),Ministerio de Agroindustria,,,,,¿Cuáles son las medidas que el Gobierno Nacional piensa instrumentar a los efectos de resolver el grave problema que padecen los productores tamberos de la Región Centro?,SI,Agroindustria ,Industria Láctea,CRISIS TAMBERA REGION CENTRO
96,26/09/2016,28/08/2016,28,,"Caserio, Carlos Alberto (CBA - UpC)",Unión por Córdoba (UpC),Ministerio de Producción,,,,,¿Cuándo estima el Gobierno Nacional que se va a celebrar el acuerdo automotriz entre Argentina y Brasil a los efectos de resolver la crisis del sector automotriz?,SI,Producción ,Automotrices  ,ACUERDO AUTOMOTRIZ ARGENTINA BRASIL
96,26/09/2016,28/09/2016,29,,"Caserio, Carlos Alberto (CBA - UpC)",Unión por Córdoba (UpC),Ministerio de Hacienda y Finanzas Públicas,,,,,¿El Gobierno Nacional  estudia modificar el régimen legal vigente a los efectos de que las provincias puedan tomar deuda en el exterior sin la autorización de la  Secretaría  de Hacienda?,SI,Hacienda y Finanzas Públicas,Deuda Pública/emisión de deuda,COLOCACIÓN DEUDA PÚBLICA PROVINCIAS
96,26/09/2016,28/09/2016,30,,"Caserio, Carlos Alberto (CBA - UpC)",Unión por Córdoba (UpC),Jefatura de Gabinete,,,,,¿Este gobierno va a respetar a las provincias argentinas en cuanto a la distribución de obras y recursos de las regiones que representan? O va a hacer como el gobierno anterior que salteaba a los gobiernos provinciales para distribuir recursos directamente con los intendentes fomentando el clientelismo político? ,SI,"Interior, Obras Públicas y Vivienda",Obras Públicas/Infraestructura Pública,DISTRIBUCIÓN FEDERAL OBRAS PÚBLICAS
96,26/09/2016,28/08/2016,31,,"Castillo, Oscar Aníbal (CAT - FCYSC)",Frente Cívico y Social de Catamarca (FCYSC),Ministerio de Hacienda y Finanzas Públicas,,,,"Desde la implementación del denominado Programa Federal de Desendeudamiento, la provincia de Catamarca participa del mismo. Informe: ","¿De cuánto fue el monto total y los conceptos que logró compensar la provincia de Catamarca desde el ingreso a dicho Programa?
¿A cuánto asciende en la actualidad la deuda que por todo concepto la Provincia de Catamarca tiene con el Gobierno Nacional?",SI,Hacienda y Finanzas Públicas,Coparticipación/Fondos provinciales,PROGRAMA FEDERAL DESENDEUDAMIENTO
96,26/09/2016,28/09/2016,32,,"Castillo, Oscar Aníbal (CAT - FCYSC)",Frente Cívico y Social de Catamarca (FCYSC),ANSES,,,,"Al momento de la sanción del proyecto de ley del Programa Nacional de Reparación Histórica para Jubilados y Pensionados por el Senado de la Nación, el aspecto más destacado del mismo fue el significado de “equidad” que la implementación del mismo generaba en el Sistema Previsional Argentino. En estos días el Poder Ejecutivo informó que desde este mes ya comenzaron a liquidarse beneficios con aplicación de esta ley.","¿Puede detallar la cantidad de beneficiarios que según la ANSES están comprendidos con los alcances del Programa Nacional de Reparación Histórica para Jubilados y Pensionados, distribuidos los mismos por cada Provincia?",SI,ANSES,Programa Nacional de Reparación Histórica,CANTIDAD BENEFICIARIOS REPARACIÓN HSTÓRICA
96,26/09/2016,28/09/2016,33,,"Castillo, Oscar Aníbal (CAT - FCYSC)",Frente Cívico y Social de Catamarca (FCYSC),"Ministerio de Interior, Obras Públicas y Vivienda",,,,"Infraestructura habitacional
Dado el reconocido déficit que existe en esta área, podría informar:","- El estado de ejecución de los programas en el Área de Hábitat y Desarrollo Humano dependiente de la Secretaria de Vivienda del Ministerio del Interior, o mediante quien corresponda, que contenga los distintos programas de viviendas; y mejora del hábitat. 
- El diagnóstico que elabora de la situación de este urgente problema de estado, cantidad de personas sin vivienda digna, relevamiento de asentamientos urbanos, entre otros.
- ¿Cuál es su plan integral para abordar esta problemática?",SI,"Interior, Obras Públicas y Vivienda",Política habitacional,OBRAS EN INFRAESTRUCTURA HABITACIONAL
96,26/09/2016,28/08/2016,34,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Relaciones Exteriores y Culto,,,,,"¿Cuál es el estado de avance de la creación del Polo Logístico, y el traslado a la ciudad de Ushuaia del Instituto Antártico Argentino y la Dirección Nacional del Antártico?",SI,Relaciones Exteriores y Culto,Antártida,POLO LOGISTICO USHUAIA
96,26/09/2016,28/09/2016,35,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Relaciones Exteriores y Culto,,,,,¿Cuál es el posicionamiento sobre política antártica nacional?,SI,Relaciones Exteriores y Culto,Antártida,DEFINICIÓN POLÍTICA ANTARTICA
96,26/09/2016,28/09/2016,36,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Defensa,,,,,"Siendo que el Ministerio de Defensa es el encargado de las licitaciones por las que se abastece a través de la Dirección Nacional del Antártico a las bases antárticas. ¿Cuál es el posicionamiento a fin que las mismas tengan un correcto aprovisionamiento, dado que el proveedor encargado hasta la fecha no cumplió con las condiciones de abastecimiento necesarias para las bases.",SI,Defensa ,Antártida,APROVISIONAMIENTO BASES ANTARTICAS
96,26/09/2016,28/08/2016,37,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Defensa,,,,,"En virtud de ser la República Argentina el primer país en posicionarse en territorio antártico y continuar en forma ininterrumpida sus labores científicas, tecnológicas y en materia de preservación ambiental, como también teniendo en cuenta el desgaste de los equipamientos para llevar a cabo dichas tareas, ¿Esta previsto inversiones tendientes a reemplazar las vetustez de los equipos?",SI,Defensa ,Antártida,INVERSION EQUIPAMIENTO BASES ANTARTICAS
96,26/09/2016,28/09/2016,38,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Relaciones Exteriores y Culto,,,,"Habida cuenta que la Base Marambio se encuentra limitada en su capacidad operativa y que la pista de aterrizaje no cumpliría con los requerimientos para recibir los vuelos de LADE anunciados por el Ministerio de Turismo de la Nación, ","¿Se tiene previsto activar la Base Petrel, que hoy en día se encuentra inoperativa y cuenta con una pista de aterrizaje, que permite la operatoria para ese tipo de aeronaves?",SI (RREE),Defensa ,Antártida,BASE EN ANTARTIDA PARA VUELOS LADE
96,26/09/2016,28/09/2016,39,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Relaciones Exteriores y Culto,,,,Los medios de comunicación han difundido que la canciller Malcorra se encontraría en conversaciones con Gran Bretaña para reestablecer los vuelos con la Islas Malvinas. ,"Teniendo en cuenta que no se ha podido ubicar información oficial al respecto, se sirva explicitar si se encuentran formalmente delineadas las pautas del acuerdo y sustantivamente todas sus cuestiones conexas, especialmente aquellas relacionadas con la explotación de petróleo en el área.",SI,Relaciones Exteriores y Culto,Malvinas  ,VUELOS A MALVINAS
96,26/09/2016,28/08/2016,40,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Transporte,,,,,"Respecto a la traza de la Autovía prevista entre Córdoba y Salta, con una inversión de U$S 1.700; sírvase informar porqué la misma no continúa hasta Jujuy, siguiendo la traza de la Ruta 34, ya que la Provincia queda rezagada infraestructuralmente respecto a la comunicación con la región Noroeste y Córdoba, siendo esta vía de gran importancia comercial regional.",SI,Transporte ,Obras Viales,AUTOVÍA CORDOBA SALTA
96,26/09/2016,28/09/2016,41,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Transporte,,,,,"Con respecto a la traza del Ferrocarril Belgrano que unía San Salvador de Jujuy con la ciudad de La Quiaca y su limítrofe Villazón (Bolivia): Sírvase informar si se realizó un estudio de factibilidad para conservar la vieja traza o existe un nuevo proyecto de ejecución de la misma; que organismo lleva a cabo el desarrollo del mismo; y si se realizó un estudio de Impacto Ambiental de la zona, ya que la traza en casi su totalidad, estará situada dentro de la Quebrada de Humahuaca declarada por la UNESCO como Patrimonio Cultural y Paisajístico de la Humanidad, teniendo en cuenta ciertas consideraciones y reparos con el medio ambiente y su cuidado efectivo.",SI,Transporte ,Política Ferroviaria  ,FERROCARRIL BELGRANO NEA
96,26/09/2016,28/09/2016,42,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Transporte,,,,,"Respecto a la reapertura de la Traza prevista desde la Ciudad de Humahuaca y Libertador General San Martín, con una inversión cercana a los U$S 100, sobre la Ruta Provincial 73, sírvase informar en qué estado se encuentra su rehabilitación y en qué plazos se estima su terminación, ya que la misma será de vital importancia para revitalizar una gran zona frutihortícola y de intercambio Minero creciente.",SI,Transporte ,Obras Viales,FERROCARRIL BELGRANO NEA
96,26/09/2016,28/08/2016,43,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Energía y Minería,,,,,"Respecto a la explotación de un mineral estratégico fundamental en la zona de la Puna Jujeña como el Litio, sírvase informar que medidas se están llevando a cabo a efectos del fomento, explotación y cuidado sustentable de dicho mineral. ",SI,Energía y Minería,Minería  ,EXPLOTACIÓN DE LITIO
96,26/09/2016,28/09/2016,44,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Producción,,,,En relación a los anuncios de reconversión industrial en Tierra del Fuego:,"Cuáles serán los criterios a tener en cuenta a los fines de implementar la apertura de las importaciones. En este mismo sentido, deberá indicar qué sectores de la industria serán preservados; si se encuentra prevista la reconversión de la mano de obra y/o empleos que se verán afectados con tal medida.
Si se encuentra prevista la forma de capacitar al personal que se verá involucrado en la reconversión.",SI,Producción ,Promoción industrial  ,RECOVERSIÓN INDUSTRIAL TIERRA DEL FUEGO
96,26/09/2016,28/09/2016,45,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Producción,,Ministerio de Hacienda y Finanzas Públicas,,,Si se encuentra medido y de acuerdo con qué parámetros el impacto que causará el desequilibrio fiscal con la liberación de importaciones reiteradamente anunciadas por el gobierno.-,SI (Producción),Hacienda y Finanzas Públicas,Política Económica,DESEQUILIBRIO FISCAL LIBERACIÓN IMPORTACIONES
96,26/09/2016,28/08/2016,46,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Producción,,,,"Los indicadores demuestran  un aumento del 6.4% de los volúmenes físicos de mercaderías importadas durante los primeros siete meses del 2016 (según indec, pero mayor para otros organismos) con preponderancia en los bienes de consumo.-  ",¿Qué medidas aplicará el Poder Ejecutivo en defensa de la producción nacional y las economías regionales ante  este retroceso de la economía nacional por el crecimiento de las importaciones?,SI,Producción ,Comercio interior/exterior,CRECIMIENTO IMPORTACIONES DEFENSA PRODUCCIÓN NACIONAL
96,26/09/2016,28/09/2016,47,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Producción,,,,,¿Se ha desarrollado algún plan de acción relativo a contrarrestar los efectos negativos en el mercado local frente al aumento de las importaciones en el primer semestre del 2016 o se pretende “improvisar sobre la marcha”?  ¿Cree que la intervención estatal en el régimen de importación es necesaria para proteger el trabajo nacional? Razones de la respuesta.-,SI,Producción ,Exportación/importación,CRECIMIENTO IMPORTACIONES DEFENSA PRODUCCIÓN NACIONAL
96,26/09/2016,28/09/2016,48,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Producción,,,,,Según el análisis del Poder Ejecutivo ¿Qué sectores de nuestra economía son más sensibles frente al crecimiento de las importaciones? ¿Cree que la liberación de importaciones es el mejor camino para que los precios de la industria nacional se adecuen a los del mercado internacional? Razones de la respuesta.,SI,Producción ,Comercio interior/exterior,CRECIMIENTO IMPORTACIONES DEFENSA PRODUCCIÓN NACIONAL
96,26/09/2016,28/08/2016,49,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Producción,,,,"En declaraciones a la prensa, el Presidente Mauricio Macri ha pronunciado, en relación al tema de las importaciones: “no se puede condenar a los argentinos a que, encima de que el salario alcanza con lo justo, que cada cosa que tenga que comprar valga mucho más que en el resto del mundo”(el cronista, 5/09/2016). ","El poder adquisitivo del trabajador argentino, que se vio perjudicado frente a las políticas recesivas oficialistas como el tarifazo, la devaluación, los despidos; según su opinión ¿va recibir alguna mejora con la apertura a las importaciones y el efecto que estas van a generar sobre la producción nacional, en especial sobre las PyMES? Razones de la respuesta.",SI,Producción ,Fomento al consumo  ,IMPACTO ECONÓMICO APERTURA IMPORTACIONES
96,26/09/2016,28/09/2016,50,,"Catalán Magni, Julio César (TDF - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Jefatura de Gabinete,,,,"En el transcurso de este mes estarán llegando a nuestro país representantes del FMI para sellar el regreso de ese organismo a la Argentina. Se han conocido declaraciones de estos agentes, así como de economistas del Banco Mundial, que recomiendan para la Argentina “recorte del gasto público” y “ajuste”. Las recetas aplicadas para este objetivo son más que conocidas: flexibilidad laboral, déficit fiscal cero, apertura indiscriminada de las importaciones, etc. ","¿No cree usted que después de la década de los noventa, en la que Argentina aplicó este tipo de políticas y desencadenó una de las mayores crisis económicas y sociales de nuestro país, ya tenemos suficiente experiencia como para reconocer que por ese camino solo perjudicamos la industria nacional, aumentamos la desocupación, disminuimos el poder adquisitivo de la clase trabajadora, retrasamos aún más a los sectores postergados de nuestra población? ",SI,Hacienda y Finanzas Públicas,Política Económica,MISIÓN DEL FMI
