INFORME,FECHA CIERRE,FECHA SESIÓN,N°,Marca temporal,Autor de la Pregunta,Justificación o contexto,Pregunta,Órgano requerido,Area de gestión,Tema
ANEXO 94,30/05/2016,01/06/2016,309,8/1/2016 12:33:22,"Blas, Inés Imelda (CAT - PJ-FpV)","Recientemente hemos dado media sanción al proyecto de emergencia en materia de violencia de género, en razón de las muertes de mujeres a las que asistimos diariamente. ",¿Cuál es la política de género en materia de seguridad que piensa llevar este gobierno ?,Ministerio de Seguridad,Género  ,POLÍTICA CONTRA VIOLENCIA DE GENERO
ANEXO 94,30/05/2016,01/06/2016,310,8/1/2016 12:35:35,"Blas, Inés Imelda (CAT - PJ-FpV)","Recientemente hemos dado media sanción al proyecto de emergencia en materia de violencia de género, en razón de las muertes de mujeres a las que asistimos diariamente. ",¿Cuentan con cifras oficiales tanto de violencia de género como de femicidios?,Consejo Nacional de Políticas Sociales,Género  ,POLÍTICA CONTRA VIOLENCIA DE GENERO
ANEXO 94,30/05/2016,01/06/2016,311,8/1/2016 10:30:28,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Cuáles son las medidas que adoptará el Gobierno Nacional en el próximo semestre para asegurar el bienestar de todos los argentinos ?,Jefatura de Gabinete,Jefatura de Gabinete,BIENESTAR GENERAL
ANEXO 94,30/05/2016,01/06/2016,312,8/1/2016 16:22:44,"Blas, Inés Imelda (CAT - PJ-FpV)",,"¿Esta prevista alguna forma de compensación por parte de lo que se paga de flete, al no contar con una infraestructura adecuada los productores del NOA?",Ministerio de Agroindustria,Transporte terrestre  ,COMPENSACIÓN PAGO DE FLETE NOA
ANEXO 94,30/05/2016,01/06/2016,313,8/1/2016 16:07:51,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Cuál es el progreso a nivel nacional y en particular de la provincia de Catamarca de la Red Federal de Fibra Óptica (REFEFO) .¿Cuál es la inversión que se realizará en la provincia de Catamarca? ¿ Cuál es el tiempo estimado para la puesta en funcionamiento y activación de la  Red Federal de Fibra Óptica de Catamarca?,Ministerio de Comunicaciones,Comunicaciones y medios (TDA),REFEFO EN CATAMARCA
ANEXO 94,30/05/2016,01/06/2016,314,8/1/2016 16:16:04,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Cuál es la situación actual del Plan Federal de Internet? Se prevé incorporar a las localidades catamarqueñas a la red?. Cuándo?,Ministerio de Comunicaciones,Comunicaciones y medios (TDA),PLAN FEDERAL DE INTERNET EN CATAMARCA
ANEXO 94,30/05/2016,01/06/2016,315,8/1/2016 12:39:32,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Que medidas esta tomando el gobierno nacional para reducir la dependencia de combustibles importados?,Ministerio de Energía y Minería,YPF  /Política de hidrocarburos  /Gas,COMBUSTIBLES IMPORTADOS
ANEXO 94,30/05/2016,01/06/2016,316,8/1/2016 15:21:24,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Están previstas obras de infraestructura en energías renovables ?,Ministerio de Energía y Minería,Energías renovables  ,INFRAESTRUCTURA PARA ENERGÍAS RENOVABLES
ANEXO 94,30/05/2016,01/06/2016,317,8/1/2016 9:55:33,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Prevé el gobierno nacional anticipar la modificación del impuesto a las ganancias con el fin de acompañar la suba de salarios necesaria para mantener el poder adquisitivo ante el efecto de la inflación ?,Ministerio de Hacienda y Finanzas Públicas,AFIP / Tributos,MODIFICACIÓN DEL IMPUESTO A LAS GANANCIAS
ANEXO 94,30/05/2016,01/06/2016,318,8/1/2016 9:59:32,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Cuál es la postura que adoptará el Poder Ejecutivo respecto del rechazo del Poder Judicial al pago de impuesto a las ganancias?,Ministerio de Hacienda y Finanzas Públicas,AFIP / Tributos,POSTURA PODER JUDICIAL/IMPUESTO A LAS GANANCIAS
ANEXO 94,30/05/2016,01/06/2016,319,8/1/2016 10:33:48,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Qué porcentaje de inversiones extranjeras ya han ingresado a la Argentina ? Que representa para los distintos sectores del mercado argentino?,Ministerio de Hacienda y Finanzas Públicas,Política Económica,INGRESO DE INVERSIONES EXTRANJERAS
ANEXO 94,30/05/2016,01/06/2016,320,8/1/2016 15:13:35,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Cuál es el estado actual del proyecto del dique Potrero del Clavillo?. ¿ Se va a realizar la licitación para la consecución del mismo: Cuándo?,"Ministerio de Interior, Obras Públicas y Vivienda", Obras Hídricas.,DIQUE POTRERO DEL CALVILLO
ANEXO 94,30/05/2016,01/06/2016,321,8/1/2016 13:26:24,"Blas, Inés Imelda (CAT - PJ-FpV)","El artículo 9° del decreto 820/16 dice : A los fines previstos en el artículo 10 del Anexo I del Decreto N° 274/12 , las provincias deberán remitir al Consejo Interministerial de Tierras Rurales sus propuestas de equivalencias dentro de los treinta (30) días de la entrada en vigencia del presente decreto. El Consejo Interministerial de Tierras Rurales fijará las equivalencias dentro de los quince (15) días contados a partir de su vencimiento de dicho plazo. ","¿Explique cuáles serán las consideraciones a tener en cuanta por el Consejo Interministerial de Tierras Rurales, para fijar las equivalencias? ¿ Y que ocurriría en el caso en que la provincia no acuerde con esas equivalencias? ",Ministerio de Justicia y Derechos Humanos,Otros  ,EQUIVALENCIAS TIERRAS RURALES
ANEXO 94,30/05/2016,01/06/2016,322,8/1/2016 13:35:56,"Blas, Inés Imelda (CAT - PJ-FpV)","Considerando el artículo 10.4 del decreto 820/16 en su inciso 1 a, b,y c ","¿Quisiera que me informe cuál será el procedimiento para que la certificación emitida por profesional idóneo en la materia no incluya cuerpos de agua , y si dicha certificación no debería estar acompañada por algún otro tipo de documentación de un organismo nacional o provincial experto en la materia?",Ministerio de Justicia y Derechos Humanos,Otros  ,CERTIFICACIÓN TIERRAS RURALES
ANEXO 94,30/05/2016,01/06/2016,323,8/1/2016 15:57:43,"Blas, Inés Imelda (CAT - PJ-FpV)","En oportunidad en que Ud. asistiese a este Honorable Senado de la Nación a fin de brindar el informe que manda la Constitución Nacional le pregunté respecto de la inclusión del Juzgado Federal de primera Instancia N°2 - Ley 27229 ,en el Proyecto de Ley de Presupuesto 2017 y Ud. quedó de averiguarme la información. ","En virtud de ello , quisiera saber si ya cuenta con dicha información , y si se contemplará el mismo en dicho presupuesto. ",Ministerio de Justicia y Derechos Humanos,Tribunales federales  ,JUZGADO FEDERAL EN CATAMARCA
ANEXO 94,30/05/2016,01/06/2016,324,8/1/2016 11:04:10,"Blas, Inés Imelda (CAT - PJ-FpV)","El INTI - Instituto Nacional de Tecnología Industrial- viene desarrollando hace varios años en este país el Estudio Antropométrico de la Población, estudio que es fundamental para llevar a cabo la Ley de talles conforme a la morfología de nuestra población. Dicho estudio se encuentra en su etapa final y requiere de un financiamiento - estimado en aproximadamente  $2.000.000-. ","Quisiera saber si el gobierno nacional tiene pensado destinar fondos para la consecución final del estudio, y en caso de ser positivo cuándo se estaría realizando la remesa de dinero?",Ministerio de Producción,Fomento al consumo  ,LEY DE TALLES
ANEXO 94,30/05/2016,01/06/2016,325,8/1/2016 12:16:28,"Blas, Inés Imelda (CAT - PJ-FpV)","Sabemos por los medios de comunicación y por nuestros quehaceres diarios, que estos han decaído producto de la inflación produciendo una desaceleración de la economía que impacta a nivel general tanto en las PyMES como en las grandes empresas y fundamentalmente en el consumidor . ",¿ Hay alguna política para reactivar este sector?,Ministerio de Producción,MiPyMes  ,REACTIVACIÓN SECTOR PYMES
ANEXO 94,30/05/2016,01/06/2016,326,8/1/2016 12:21:44,"Blas, Inés Imelda (CAT - PJ-FpV)","Sabemos por los medios de comunicación y por nuestros quehaceres diarios, que éstos han decaído producto de la inflación produciendo una desaceleración de la economía que impacta a nivel general tanto en las PyMES como en las grandes empresas y fundamentalmente en el consumidor.",¿Cuál es la política de gobierno en materia de reactivación de consumo.?,Ministerio de Producción,Fomento al consumo  ,REACTIVACIÓN DEL CONSUMO INTERNO
ANEXO 94,30/05/2016,01/06/2016,327,8/1/2016 10:05:35,"Blas, Inés Imelda (CAT - PJ-FpV)",,"Esta previsto el funcionamiento del instituto Nacional de prevención, diagnóstico tratamiento e investigación de enfermedades cardiovasculares, creado por la ley 27177 ?. Cuando y donde funcionará?.",Ministerio de Salud,Programas/ servicios de salud,INSTITUTO INVESTIGACIÓN CARDIO VASCULAR
ANEXO 94,30/05/2016,01/06/2016,328,8/1/2016 12:50:49,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿ Cual es la situación actual del país en cuanto a la radarización de fronteras?,Ministerio de Defensa,Equipamiento / material,RADARIZACIÓN FRONTERAS
ANEXO 94,30/05/2016,01/06/2016,329,8/1/2016 15:18:08,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Cuál es la situación actual de los recursos y equipamientos de los destacamentos de Gendarmería Nacional de Catamarca?,Ministerio de Seguridad,Equipamiento / material,EQUIPAMIENTO GENDARMERÍA EN CATAMARCA
ANEXO 94,30/05/2016,01/06/2016,330,8/1/2016 10:46:20,"Blas, Inés Imelda (CAT - PJ-FpV)",En alguna oportunidad usted anticipo que : en el segundo trimestre habrá un crecimiento de la oferta laboral y de las oportunidades de trabajo.,¿Que crecimiento hemos tenido a la fecha y cuantos nuevos puestos de trabajo efectivos se han creado ?,"Ministerio de Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,CRECIMIENTO OFERTA LABORAL
ANEXO 94,30/05/2016,01/06/2016,331,8/1/2016 15:15:49,"Blas, Inés Imelda (CAT - PJ-FpV)",,¿Cuál es la situación actual del ferrocarril Belgrano Cargas? ,Ministerio de Transporte,Política Ferroviaria  ,FERROCARRIL BELGRANO CARGAS
ANEXO 94,30/05/2016,01/06/2016,332,8/1/2016 15:43:36,"Blas, Inés Imelda (CAT - PJ-FpV)","El Plan Belgrano ha sido uno de los estandartes de esta gestión de gobierno y que todos celebramos como política del mismo, en razón de ello quería conocer: ",¿Cuáles son los avances que ha realizado dicho plan ? Cuales son las obras y/o proyectos que ya han comenzado? Y en dónde?,Plan Belgrano,Gestión de obras,PLAN BLEGRANO GESTION OBRAS
ANEXO 94,30/05/2016,01/06/2016,333,8/1/2016 15:49:48,"Blas, Inés Imelda (CAT - PJ-FpV)","El Plan Belgrano ha sido uno de los estandartes de esta gestión de gobierno y que todos celebramos como política del mismo, en razón de ello querría conocer:",¿ Cuáles son los proyectos que incluyen a la provincia de Catamarca y cuál es el plazo que estiman para comenzar los mismos?,Plan Belgrano,Gestión de obras,OBRAS PLAN BELGRANO EN CATAMARCA
ANEXO 94,30/05/2016,01/06/2016,334,8/1/2016 10:57:38,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","El aumento del transporte, las subas de materiales necesarios para poder estudiar, el aumento de las tarifas de los servicios básicos y el desempleo traerá aparejado una disminución notable de la matrícula estudiantil, como ya ha sucedido en universidades del conurbano bonaerense, ante esta situación:  ",¿Qué medidas piensa tomar el Estado Nacional?,Jefatura de Gabinete,Política Universitaria.,INCENTIVO ESTUDIOS UNIVERSITARIOS
ANEXO 94,30/05/2016,01/06/2016,335,8/1/2016 11:01:26,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","A través de la Decisión Administrativa 519/2016, publicada en el Boletín Oficial, el Gobierno dispuso dejar de girarle a las universidades nacIonales, instituciones culturales y de enseñanza, y sociedades sin fines de lucro un total de 878.877.000 pesos que la Jefatura de Gabinete tenía para esos fines. De esta manera se destina ese monto a las provincias, aunque no se especifica cuáles, para gastos corrientes para su ""asistencia financiera"" y ""asistencia social"". ",¿En qué se aplicaron estos fondos? ¿De qué manera se piensa suplir esta falta que afecta al mantenimiento y funcionamiento de las universidades nacionales?,Jefatura de Gabinete,Política Universitaria.,QUITA DE FONDOS A UNIVERSIDADES
ANEXO 94,30/05/2016,01/06/2016,336,8/1/2016 10:51:31,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Durante el primer semestre de 2016, las partidas presupuestarias destinadas a las universidades nacionales mostraron niveles de ejecución sustantivamente por debajo de lo esperable. ",¿Qué porcentaje de ese presupuesto ha sido utilizado y a qué fue destinado?,Ministerio de Educación y Deportes,Política Universitaria.,SUBEJECUCIÓN PRESUPUESTO PARA UNIVERSIDADES
ANEXO 94,30/05/2016,01/06/2016,337,8/1/2016 10:54:57,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Teniendo en cuenta los tarifazos sobre los servicios públicos, que en algunos casos superó el 700 por ciento y la dificultad para estabilizar el nivel inflacionario de la economía y ante la demanda del sector educativo universitario, el Gobierno anunció a comienzos de mayo un extra de fondos de 500 millones, pero aún no lo distribuyó. ","¿Se ha contemplado un refuerzo presupuestario para las universidades públicas? ¿Qué monto, cuándo se otorgaría y para qué fines?",Ministerio de Educación y Deportes,Política Universitaria.,FONDOS A UNIVERSIDADES PARA TARIFAS
ANEXO 94,30/05/2016,01/06/2016,338,8/1/2016 10:59:30,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","La Secretaría de Políticas Universitaria decidió ""congelar"" las obras destinadas a ampliación o mejoras.",¿Cuáles y cuántas son esas obras y dónde están ubicadas? ¿Cuándo proseguirán?,Ministerio de Educación y Deportes,Política Universitaria.,OBRAS UNIVERSITARIAS CONGELADAS
ANEXO 94,30/05/2016,01/06/2016,339,8/1/2016 11:05:01,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",,¿ Cuáles son los programas que fueron cerrados y que vinculaban a las universidades con la administración pública nacional?,Ministerio de Educación y Deportes,Política Universitaria.,CONVENIOS ENTRE UNIVERSIDADES Y EL EJECUTIVO
ANEXO 94,30/05/2016,01/06/2016,340,8/1/2016 11:06:11,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",,¿Cuáles son las becas que el Estado otorgará a los estudiantes que se encuentran dentro del sistema educativo y cuáles a los que aspiran a ingresar a él?,Ministerio de Educación y Deportes,Programas educativos.,BECAS A ESTUDIANTES
ANEXO 94,30/05/2016,01/06/2016,341,8/1/2016 11:08:02,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",,¿Existe algún tipo de convenio educativo internacional de cooperación que esté fomentando el gobierno? ¿Existen programas de intercambio con otros países? ¿Cuáles?,Ministerio de Educación y Deportes,Programas educativos.,CONVENIO EDUCATIVO INTERNACIONAL DE COOPERACIÓN
ANEXO 94,30/05/2016,01/06/2016,342,8/1/2016 10:35:48,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",,¿Cuáles son los datos con los que se formuló el nuevo cuadro tarifario?,Ministerio de Energía y Minería,Tarifas  ,NUEVO CUADRO TARIFAS
ANEXO 94,30/05/2016,01/06/2016,343,8/1/2016 10:36:57,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",,¿Cómo se desarrollaron los costos de nuevo cuadro tarifario? Determine estos datos para que los usuarios puedan defender sus derechos en audiencia pública.,Ministerio de Energía y Minería,Tarifas  ,COSTOS NUEVO CUADRO TARIFAS
ANEXO 94,30/05/2016,01/06/2016,344,8/1/2016 10:33:51,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Tanto la producción industrial como el comercio, ha caído fuertemente durante el primer semestre de 2016. Según la CAME (Cámara Argentina de la Mediana Empresa), las ventas minoristas cayeron un 9,2% en mayo y solo en el primer cuatrimestre la producción industrial cayó el 5%. Para ADIMRA (Asociación de Industriales Metalúrgicos de la República Argentina) la producción metalúrgica acumula una caída del 11,3% en 2016 y el nivel de utilización de la capacidad instalada se contrajo un 13%, además informa que el empleo ha caído un 4% con respecto al mes de mayo del año anterior. Las Cámaras de Turismo expresan que la cantidad de reservas de hoteles y paquetes turísticos para las vacaciones de invierno en los principales destinos del país ha caído hasta 40%, y ellos mismo comentan que está lejos de la demanda de los últimos años. Las principales causas de esta situación son la devaluación, el tarifazo y las altas tasas de interés, entendiendo que la sanción de ley de pymes no alcanza para revertir esta situación. ",¿Qué medidas prevén para revertir esta situación a corto plazo?,Ministerio de Hacienda y Finanzas Públicas,Política Económica,CAÍDA DE LOS SECTORES ECONÓMICOS
ANEXO 94,30/05/2016,01/06/2016,345,8/1/2016 10:39:52,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","En noviembre de 2015, durante la campaña presidencial, el actual presidente expresaba: ""No podemos abrir las importaciones. Tenemos que crear trabajo, no destruir lo poco que tenemos"". En el mes de diciembre ya en el gobierno, en voz del Ministro Cabrera, se anunció que reemplaza a las DJAI por el Sistema Integral de Monitoreo de Importaciones (SIMI) , que permitirán cuidar el empleo y simplificar los trámites. Hoy después de seis meses se observa el impacto negativo de estas medias sobre la producción y el empleo. Según un relevamiento realizado por CAME a más de 300 industrias pequeñas  y medianas  del  país,   el   79%  asegura que  la apertura de las importaciones representa una amenaza para su empresa, mientras que el 49,5% dice que en el último trimestre se han visto claramente perjudicados, perdiendo ventas en manos de los productos importados. Y Según los propios datos del Indec, la importación de bienes de consumo alcanza un crecimiento de casi el 30 por ciento en el mes de mayo. Para indumentaria el ingreso de productos importados acumula un incremento de 23 por ciento en el año, y en marroquinería (83 por ciento en mayo), en calzado (46 por ciento en mayo) y en juguetes (53 por ciento en mayo) y en alimentos y bebidas (40 por ciento en mayo). Y la importación de bebidas alcohólicas (70 por ciento en lo que va del año), incluyendo vino y cerveza, productos emblemáticos para la Argentina y Mendoza.","¿Cuáles son las medidas de política comercial que están previstas para cuidar el empleo, aquellas que se prometían en campaña pero que todavía no están siendo aplicadas?",Ministerio de Hacienda y Finanzas Públicas,Exportación / importación,COMERCIO INTERIOR
ANEXO 94,30/05/2016,01/06/2016,346,8/1/2016 10:42:27,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Según un informe del Ministerio de Hacienda y Finanzas, el resultado financiero representa un deterioro interanual de $ 18.693,1 millones; además por los últimos datos económicos se presenta un horizonte de menor recaudación y mayor gasto.","¿Cómo se prevé financiar ese déficit creciente, con mayor deuda, con más emisión, o con más ajuste?",Ministerio de Hacienda y Finanzas Públicas,Política Económica,FINANCIACIÓN DEL GASTO/MENOR RECAUDACIÓN
ANEXO 94,30/05/2016,01/06/2016,347,8/1/2016 10:45:21,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Los efectos de flexibilizar la fuga de divisas se sintieron rápidamente: durante el primer trimestre de 2016 la misma alcanzó los 3300 millones de dólares, marcando el nivel más alto para los primeros meses del año desde 2009. El balance cambiario del Central precisó que los prestamos financieros, los préstamos de organismos internacionales y otros bilaterales acumularon una entrada neta de deuda por 5496 millones de dólares en el primer trimestre, Estos pasivos, lejos de potenciar proyectos de infraestructura para avanzar en el desarrollo de la economía, se emplearon para financiar la mayor salida de dólares financieros y la bicicleta financiera impulsada por las altas tasas de lebacs (Letras del Banco Central):",¿Cómo se prevé parar con esta fuga de capitales y esta bicicleta  financiera? ,Ministerio de Hacienda y Finanzas Públicas,Política Económica,FUGA DE CAPITALES
ANEXO 94,30/05/2016,01/06/2016,348,8/1/2016 10:47:36,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Los efectos de flexibilizar la fuga de divisas se sintieron rápidamente: durante el primer trimestre de 2016 la misma alcanzó los 3300 millones de dólares, marcando el nivel más alto para los primeros meses del año desde 2009. El balance cambiario del Central precisó que los prestamos financieros, los préstamos de organismos internacionales y otros bilaterales acumularon una entrada neta de deuda por 5496 millones de dólares en el primer trimestre, Estos pasivos, lejos de potenciar proyectos de infraestructura para avanzar en el desarrollo de la economía, se emplearon para financiar la mayor salida de dólares financieros y la bicicleta financiera impulsada por las altas tasas de lebacs (Letras del Banco Central):","¿Cómo se prevé bajar la tasa de interés, para impulsar la producción sin potenciar la fuga de capitales?   ",Ministerio de Hacienda y Finanzas Públicas,Política Económica,FUGA DE CAPITALES
ANEXO 94,30/05/2016,01/06/2016,349,8/1/2016 10:49:16,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Los efectos de flexibilizar la fuga de divisas se sintieron rápidamente: durante el primer trimestre de 2016 la misma alcanzó los 3300 millones de dólares, marcando el nivel más alto para los primeros meses del año desde 2009. El balance cambiario del Central precisó que los prestamos financieros, los préstamos de organismos internacionales y otros bilaterales acumularon una entrada neta de deuda por 5496 millones de dólares en el primer trimestre, Estos pasivos, lejos de potenciar proyectos de infraestructura para avanzar en el desarrollo de la economía, se emplearon para financiar la mayor salida de dólares financieros y la bicicleta financiera impulsada por las altas tasas de lebacs (Letras del Banco Central):","¿Cuáles son las inversiones y dólares que van a llover en un contexto recesivo, si el gobierno decide bajar la tasa de interés?",Ministerio de Hacienda y Finanzas Públicas,Política Económica,LLUVIA DE INVERSIONES
ANEXO 94,30/05/2016,01/06/2016,350,8/1/2016 11:10:01,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","Teniendo en cuenta que uno de los principales ejes de campaña fue la pobreza cero y según los datos del informe del Observatorio de la Deuda Social de la Universidad Católica Argentina (UCA), la pobreza alcanza al 34,5% de la población, es decir, unas 13 millones de personas. Para la misma institución, en 2015, el porcentaje era de 29%. En este primer semestre hay 1 ,4 millones de personas que han visto destruidas sus economías a consecuencia de los despidos, inflación desmedida y tarifazos. ",¿Qué medidas ha tomado el gobierno ante esta situación que se agrava día a día?,Ministerio de Hacienda y Finanzas Públicas,Pobreza / Indigencia,POBREZA CERO
ANEXO 94,30/05/2016,01/06/2016,351,8/1/2016 10:13:28,"Fernández Sagasti, Anabel (MZA - PJ-FpV)","En relación a la implementación de la Boleta Única Electrónica. Los mayores expertos en software para usos electorales del país y del mundo se pronuncian en contra de este sistema. La propia Cámara Nacional Electoral Argentina, en su Acordada N°100 del año 2015 manifiesta que ""cabe señalar - teniendo en cuenta la experiencia de otros países fvgr. Alemania, Austria, Holanda, etc.)- que las opciones tecnológicas no pueden implicar una transferencia, ni una dependencia, del poder público respecto de empresas comerciales pues, en términos llanos, la soberanía política no se puede privatizar"".
Con el sistema propuesto se le da a una empresa privada ""la llave del proceso electoral"". Ya que el ciudadano no puede acceder ni comprender el código de las máquinas
Los expertos manifiestan que ""Las vulnerabilidades no son la excepción, sino la regla, y los programas pueden ser inseguros no sólo por estar mal hechos, sino porque una función normal, lícita, podría explotarse con fines maliciosos"". Esto se confirma en nuestro país con ]o sucedido recientemente con el hackeo de datos en la CABA y recientemente en el poder judicial de la nación. Este Congreso tiene la obligación constitucional de instaurar sistemas que garanticen la tutela del derecho al sufragio, no poniendo en riesgo aspectos tan esenciales del mismo como la seguridad y la privacidad del mismo.",¿Con qué argumentos el gobierno nacional - desoyendo la amplia experiencia internacional en la materia- pretende implementar este sistema que puede poner en jaque la integridad del proceso electoral?,"Ministerio de Interior, Obras Públicas y Vivienda", Otros,BOLETA ÚNICA ELECTRÓNICA
