INFORME,FECHA CIERRE,FECHA SESIÓN,N°,Autor de la Pregunta,Justificación o contexto,Pregunta,Órgano requerido,Area de gestión,Tema
95,22/08/2016,24/08/2016,36,Bloque Compromiso Federal,Teniendo en cuenta el desarrollo del Programa REMEDIAR + REDES,"Teniendo en cuenta el Decreto 336/16, informe: ¿Cómo se desarrollarán las capacitaciones correspondientes en base a la correcta y racionalizada utilización de medicamentos?",Ministerio de Salud,Programas/servicios de salud,CAPACITACIÓN MEDICAMENTOS REMEDIAR+REDES
95,22/08/2016,24/08/2016,37,Bloque Compromiso Federal,Teniendo en cuenta la compra de medicamentos a laboratorios nacionales indique,"¿Cuál es el estado actual de contratación con los siguientes laboratorios: Laboratorios Puntanos de San Luis, Laboratorio de la Universidad Nacional De Córdoba, Laboratorio Industrial de Farmacéuticos de Santa Fe y Laboratorio de Especialidades Medicinales de Rosario?",Ministerio de Salud,Medicamentos/ANMAT,COMPRA MEDICAMENTOS EN LABORATORIOS NACIONALES
95,22/08/2016,24/08/2016,38,Bloque Compromiso Federal,,¿Se ha realizado un relevamiento a los efectos de saber y conocer cuál es el porcentaje de caída en la construcción en el empleo formal? Indique resultados.,"Ministerio de Trabajo, Empleo y Seguridad Social",Estadísticas,CAIDA EMPLEO FORMAL EN CONSTRUCCIÓN
95,22/08/2016,24/08/2016,39,Bloque Compromiso Federal,,"¿Se ha realizado una investigación a los efectos de saber y conocer cuáles son los motivos reales de la caída del empleo formal en el sector de la construcción?
En caso afirmativo, indique resultados teniendo en cuenta:
-si es por zonas de construcción.
-si se debe a la situación coyuntural del país.
-si se debe a los altos impuestos que hay que abonar por la regularización de los empleados.
- si se debe a que la mayoría de los mismos no son de nacionalidad argentina.
En caso negativo, explique los motivos","Ministerio de Trabajo, Empleo y Seguridad Social",Estadísticas,CAIDA EMPLEO FORMAL EN CONSTRUCCIÓN
95,22/08/2016,24/08/2016,40,Bloque Compromiso Federal,,A fin de resolver esta grave crisis: ¿Cuáles son las medidas a adoptar a fin de incentivar la construcción y facilitar la estabilidad del empleo formal?,"Ministerio de Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,CAIDA EMPLEO FORMAL EN CONSTRUCCIÓN
95,22/08/2016,24/08/2016,41,Bloque Frente de Izquierda y de los Trabajadores,"Al momento de la designación de Susana Malcorra como Ministra de Relaciones Exteriores y Culto,","¿tenía usted conocimiento de las acusaciones que pesan sobre ella por haber ocultado un informe donde se denuncian acusaciones de abusos sexuales y explotación sobre niños y niñas por parte de las Fuerzas Internacionales de Mantenimiento de la Paz en la República Centroafricana, entre diciembre de 2013 y junio de 2014, cuando se desempeñaba como Jefa de Gabinete del Secretario General de la ONU? ¿Qué medidas piensa tomar el gobierno respecto de esta situación? ",Jefatura de Gabinete,Temas presidencia,DENUNCIAS VIOLACIÓN DDHH MISION EN AFRICA MALCORRA
95,22/08/2016,24/08/2016,42,Bloque Frente de Izquierda y de los Trabajadores,"Contemplando que en su carta al presidente de la Cámara de Diputados, la canciller Malcorra sostiene que ante denuncias concretas del Alto Comisionado para Derechos Humanos de la ONU, Zeid Ra’ad Al Hussein, que se contactó con ella en marzo de 2015 para solicitar una reunión por este tema, su intervención se limitó al envió de “funcionarios” de “ética” “para que puedan brindarle asesoramiento respecto a las reglas y procedimientos aplicables a la situación”. Es decir, reconoce el ocultamiento deliberado de las denuncias, la desconsideración de los crímenes denunciados (la propia ministra cita un informe de la Secretaría General de la ONU que sostiene que “la conducta de la jefa de Gabinete fue desconsiderada”) y consecuentemente un favorecimiento de la impunidad de los mismos. Luego de tal confesión,",¿Considera apropiada la continuidad de Malcorra como Ministra? ,Jefatura de Gabinete,Temas presidencia,CONTINUIDAD MALCORRA ANTE DENUNCIAS VIOLACIÓN DDHH
95,22/08/2016,24/08/2016,43,Bloque Frente de Izquierda y de los Trabajadores,"En referencia a las acusaciones de abusos sexuales y explotación sobre niños y niñas por parte de las Fuerzas Internacionales de Mantenimiento de la Paz en la República Centroafricana, entre diciembre de 2013 y junio de 2014",¿Qué opinión le merecen las denuncias de los funcionarios de la ONU que acusan que fueron perseguidos y obligados a renunciar por haberse opuesto a la impunidad de estos crímenes aberrantes?,Jefatura de Gabinete,Temas presidencia,DENUNCIAS VIOLACIÓN DDHH MISION EN AFRICA MALCORRA
95,22/08/2016,24/08/2016,44,Bloque Frente de Izquierda y de los Trabajadores,"En su respuesta a nuestro bloque en el informe N°93, respecto de las empresas privatizadas de servicios que están siendo beneficiadas con tarifazos, usted afirma que “El desfinanciamiento del sector fue producto de más de diez años de políticas públicas que congelaron las tarifas a los usuarios finales”. Sin embargo, esas mismas empresas fueron compensadas con subsidios millonarios por parte del Estado. ","¿Qué hicieron esas empresas con la enorme cantidad de subsidios que recibieron del Estado nacional y por qué esos fondos no se destinaron a las inversiones necesarias para garantizar el servicio en condiciones óptimas al conjunto de la población? ¿Cómo puede hablar de “plan de inversiones” a futuro sin presentar un balance al conjunto de la población, que hoy se ve afectada con el aumento de tarifas, respecto del destino de esos fondos que recibieron las empresas en concepto de subsidios? ",Ministerio de Energía y Minería,Tarifas  ,SUBSIDIOS EMPRESAS DE SERVICIOS PÚBLICOS
95,22/08/2016,24/08/2016,45,Bloque Frente de Izquierda y de los Trabajadores,"Respecto de estos subsidios (en referencia a los percibidos por las empresas de servicios públicos ), usted sostiene que “La utilización de recursos estatales en el segmento de distribución (electricidad y gas) permitió que en los últimos dos años las empresas pudieran continuar con la operación del servicio”. ","¿Cómo explica los enormes déficits de esa actividad, como se expresa por ejemplo en la falta de extensión de la red de gas a nivel nacional? ¿Qué tipo de obras hacen las distribuidoras? ¿Las empresas concesionarias: no están usando los subsidios recibidos para extenderse comprando otros sectores de la misma rama, tal como hacían los Cirigliano en el FC Sarmiento? Este desvío de fondos: ¿no debe ser investigado por el gobierno?",Ministerio de Energía y Minería,Tarifas  ,SUBSIDIOS EMPRESAS DE SERVICIOS PÚBLICOS
95,22/08/2016,24/08/2016,46,Bloque Frente de Izquierda y de los Trabajadores,Los precios internacionales del gas hoy han caído y sin embargo su gobierno reconoce un precio en boca de pozo muy superior al precio internacional. ,¿Por qué se aplica este subsidio?,Ministerio de Energía y Minería,YPF/Política de hidrocarburos/Gas,SUBSIDIOS EMPRESAS DE SERVICIOS PÚBLICOS
95,22/08/2016,24/08/2016,47,Bloque Frente de Izquierda y de los Trabajadores,"El aumento de tarifas ha sido justificado por su gobierno, y así incluso lo sostuvo el interventor de ENARGAS en esta misma cámara el pasado 2 de agosto, en nombre de garantizar “la rentabilidad de las empresas”. ","¿Por qué el gobierno prioriza la tasa de ganancia empresarial a las posibilidades de acceso a recursos elementales (el agua, la luz, el gas) de la mayoría de la población trabajadora, que tuvo aumentos salariales promedio muy por debajo de la inflación y por debajo del porcentaje de incremento del precio de estos servicios que el Estado debería garantizar?",Jefatura de Gabinete,Tarifas  ,AUMENTO  TARIFA RENTABILIDAD EMPRESARIA
95,22/08/2016,24/08/2016,48,Bloque Frente de Izquierda y de los Trabajadores,"Usted afirma que el gobierno sostiene los precios locales de la nafta por encima de los precios internacionales “con el fin de cuidar el empleo, dar continuidad en el ritmo del nivel de actividad de las localidades que dependen fuertemente de los hidrocarburos”. ","¿Cómo explica entonces la continuidad de los despidos en el sector, por ejemplo en Santa Cruz o Comodoro Rivadavia y cómo se explica la “reestructuración productiva” de las empresas contratistas de YPF que abarca jubilaciones compulsivas, reubicaciones en otras tareas, trabajo con mayor velocidad de viento (mortal en zonas como Comodoro con vientos de hasta 200km/h), horarios nocturnos para montaje y desmontaje, simultaneidad de tareas de un mismo operario, controles de ausentismo para que vayan a trabajar enfermos y continuidad en los equipos de perforación aunque falten operarios?",Ministerio de Energía y Minería,YPF/Política de hidrocarburos/Gas,CRISIS SECTOR HIDROCARBURÍFERO EMPLEO
95,22/08/2016,24/08/2016,49,Bloque Frente de Izquierda y de los Trabajadores,,"¿Por qué el gobierno desacata a la Corte Suprema de la Nación Argentina, que le ordena la publicidad del acuerdo YPF-Chevron firmado por el kirchnerismo?",Ministerio de Energía y Minería,YPF/Política de hidrocarburos/Gas,ACUERDO YPF CHEVRON CORTE SUPREMA JUSTICIA
95,22/08/2016,24/08/2016,50,Bloque Frente de Izquierda y de los Trabajadores,,"¿Considera el gobierno que debe resarcirse a los ex trabajadores de Gas del Estado, de Segba y de otras empresas privatizadas en la década del 90 del no cobro de los Programas de Propiedad Participada? En caso afirmativo, ¿Por qué no acelera el voto de la Cámara de Senadores y la sanción correspondiente al Proyecto votado a fines del año pasado por la Cámara de Diputados?",Ministerio de Hacienda y Finanzas Públicas,Puestos de trabajo,RESARCIMIENTO EX EMPLEADOS DEL SECTOR GAS
95,22/08/2016,24/08/2016,51,Bloque Frente de Izquierda y de los Trabajadores,"Ante la ausencia de respuesta en el informe N°93, reiteramos la pregunta: ",¿Por qué el presidente Macri vetó la ley antidespidos? ¿Cómo piensa el gobierno proceder frente a los nuevos despidos?,"Ministerio de Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,VETO LEY ANTIDESPIDOS
95,22/08/2016,24/08/2016,52,Bloque Frente de Izquierda y de los Trabajadores,"Respecto de los alcances del trabajo en negro en nuestro país, usted sostuvo que “El Instituto de estadística anunció que la información correspondiente al segundo trimestre de 2016 estará disponible en el mes de agosto”.",¿Se conocen ya las estadísticas? ¿Cuál es el porcentaje de trabajadores activos que se encuentran en negro?,"Ministerio de Trabajo, Empleo y Seguridad Social",Estadísticas,TRABAJADORES EN NEGRO
95,22/08/2016,24/08/2016,53,Bloque Frente de Izquierda y de los Trabajadores,,"¿Porque el Ministerio de Trabajo amenaza con sanciones y persecuciones a los dirigentes, delegados y trabajadores ferroviarios del Sarmiento por ejercer el derecho de huelga? ¿No es este un poderoso precedente contra el derecho de huelga?","Ministerio de Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,Cumplimiento Ley Derecho Sindical
95,22/08/2016,24/08/2016,54,Bloque Frente de Izquierda y de los Trabajadores,Frente al salto que ha dado la inflación: ,¿no corresponde que sean convocadas de emergencia todas las paritarias de los gremios para actualizar salarios?,"Ministerio de Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,APERTURA DE PARITARIAS
95,22/08/2016,24/08/2016,55,Bloque Frente de Izquierda y de los Trabajadores,"Teniendo en cuenta que el aumento a las jubilaciones y pensiones –que regirá recién a partir de septiembre- será aproximadamente del 15%, cuando se calcula que la  inflación en el primer semestre superó el 30%, y cuando el haber mínimo previsional que cobran más de la mitad  de los jubilados y pensionados está hoy en $4959 ",¿Por qué se sigue aplicando la fórmula de movilidad de la Ley 26.417 votada en 2008 en lugar de impulsar un cambio de legislación a través de sus representantes parlamentarios?,ANSES,Política previsional/jubilatoria,MODIFICACIÓN FORMULA DE MOVILIDAD JUBILATORIA
95,22/08/2016,24/08/2016,56,Bloque Frente de Izquierda y de los Trabajadores,"Teniendo en cuenta que el aumento a las jubilaciones y pensiones –que regirá recién a partir de septiembre- será aproximadamente del 15%, cuando se calcula que la  inflación en el primer semestre superó el 30%, y cuando el haber mínimo previsional que cobran más de la mitad  de los jubilados y pensionados está hoy en $4959 ",¿Considera que un jubilado puede cubrir su subsistencia con un ingreso de $4959  o de $5700 (como resultaría del incremento que regirá desde el mes próximo)? ¿No corresponde un aumento de emergencia para paliar el déficit entre los ajustes otorgados y el costo de vida?,ANSES,Política previsional/jubilatoria,MODIFICACIÓN FORMULA DE MOVILIDAD JUBILATORIA
